filename,Code,Replicate,3a7a12k_taurine_14542,Di_taurine_19595,Tri_taurine_20369,3a12k_taurine_22309,Tri_glycine_25947,Di_glycine_27361,Di_taurine_29331,Di_taurine_30261,Di_glycine_34166,Di_glycine_34738,Mono_taurine_35357,Mono_glycine_38634
Blank_post,NA,rep1,9005.202,0,0,7590.339,0,8752.188,9291.352,0,3513.11,0,9546.585,14234.046
Blank_post_rep2,NA,rep2,25702.271,0,263411.94,100371.64,0,1371.554,6348.236,0,1512.798,0,2877.775,12848.604
Blank_pre,NA,rep1,0,0,0,0,0,0,1090.142,0,0,0,1963.011,5103.283
Blank_pre_rep2,NA,rep2,18321.78,0,214397.6,71662.54,0,0,0,0,0,0,0,854.1681
Blank_pre_rep3,NA,rep3,26497.04,0,266311.44,105373.99,0,2243.508,6334.63,0,3344.893,0,2599.662,5432.716
P1_A1_cluster4_A0A0P0LK75,A0A0P0LK75,rep1,10099.85,0,0,13062.12,0,21884.13,16709.73,0,14740.67,0,17523.95,69184.51
P1_A1_cluster4_A0A0P0LK75_rep2,A0A0P0LK75,rep2,15509.95,0,0,34704.27,0,35918.45,42741.49,0,27573.41,0,85444.95,272767.75
P1_A1_cluster4_A0A0P0LK75_rep3,A0A0P0LK75,rep3,26424.67,0,0,43296.82,0,21158.22,49643.01,0,30249.32,0,87661.56,150462.16
P1_A10_cluster424_A0A1Q6E5Z9,A0A1Q6E5Z9,rep1,28629.63,0,0,32977.94,0,38504.64,43538.51,0,41746.45,0,60857.69,186933.42
P1_A10_cluster424_A0A1Q6E5Z9_rep2,A0A1Q6E5Z9,rep2,640.0875,0,0,460.5458,0,2353.0361,183.6601,0,1086.7224,0,251.174,7549.819
P1_A10_cluster424_A0A1Q6E5Z9_rep3,A0A1Q6E5Z9,rep3,3448.792,0,0,3551.276,0,5310.997,2483.832,0,6678.311,0,10090.37,14437.824
P1_A11_cluster526_A0A1C5X749,A0A1C5X749,rep1,19528.39,0,0,22515.37,0,15077.45,23701.28,0,18407.84,0,22184.48,75799.58
P1_A11_cluster526_A0A1C5X749_rep2,A0A1C5X749,rep2,2651.612,0,0,4239.911,0,8678.361,2295.666,0,9562.659,0,11722.581,45135.406
P1_A11_cluster526_A0A1C5X749_rep3,A0A1C5X749,rep3,18025.7,0,0,28603.09,0,10585.47,35625.54,0,30334.49,0,67855.8,85784.07
P1_A12_cluster582_A0A1Q6M5M7,A0A1Q6M5M7,rep1,17969.99,0,0,30439.06,0,27456.53,40111.94,0,30294.47,0,51082.56,131218.42
P1_A12_cluster582_A0A1Q6M5M7_rep2,A0A1Q6M5M7,rep2,7991.747,0,0,9742.822,0,19754.98,7029.196,0,6192.829,0,12032.132,26345.402
P1_A12_cluster582_A0A1Q6M5M7_rep3,A0A1Q6M5M7,rep3,0,0,0,0,0,784.33356,0,0,335.8491,0,138.41501,62.23212
