compound_name,compound_type,data_name,smiles,smiles_source,correction_note,mw_file,parse_ok,formula,mw_smiles,n_N,n_primary,n_secondary,n_tertiary,n_aniline,has_COOH,n_nucleophilic_N,amine_class,core,conjugate,conjugate_detected,n_OH,n_keto,degree,conjugate_matches_name,n_conjugate_forms
"1,3-Diaminopropane",Amine,,C(CN)CN,raw,,74.125,True,C3H10N2,74.13,2.0,2.0,0.0,0.0,0.0,False,2.0,polyamine,,,,,,,,
"2,3-Diaminopropinoic Acid",Amine,"2,3_diaminopropionic acid",NC(CN)C(=O)O,CORRECTED,cyclic C5H11N3O2 in raw file; MW column says 104.11,104.11,True,C3H8N2O2,104.11,2.0,2.0,0.0,0.0,0.0,True,2.0,polyamine,,,,,,,,
3-methoxytyramine HCl,Amine,3_methoxytyramine,COC1=C(C=CC(=C1)CCN)O,desalted,,203.66,True,C9H13NO2,167.21,1.0,1.0,0.0,0.0,0.0,False,1.0,primary_amine,,,,,,,,
4-aminophenol,Amine,4_aminophenol,C1=CC(=CC=C1N)O,raw,,109.13,True,C6H7NO,109.13,1.0,0.0,0.0,0.0,1.0,False,0.0,aryl_amine,,,,,,,,
5-Aminovaleric Acid,Amine,,C(CCN)CC(=O)O,raw,,117.15,True,C5H11NO2,117.15,1.0,1.0,0.0,0.0,0.0,True,1.0,amino_acid,,,,,,,,
Allantoin,Amine,,C1(C(=O)NC(=O)N1)NC(=O)N,raw,,158.12,True,C4H6N4O3,158.12,4.0,0.0,0.0,0.0,0.0,False,0.0,primary_amine,,,,,,,,
Asparagine,Amine,asparagine,C([C@@H](C(=O)O)N)C(=O)N,raw,,132.12,True,C4H8N2O3,132.12,2.0,1.0,0.0,0.0,0.0,True,1.0,amino_acid,,,,,,,,
Aspartic Acid,Amine,,C([C@@H](C(=O)O)N)C(=O)O,raw,,133.1,True,C4H7NO4,133.1,1.0,1.0,0.0,0.0,0.0,True,1.0,amino_acid,,,,,,,,
B-Alanine,Amine,,C(CN)C(=O)O,raw,,89.09,True,C3H7NO2,89.09,1.0,1.0,0.0,0.0,0.0,True,1.0,amino_acid,,,,,,,,
DL-Proline,Amine,proline,C1CC(NC1)C(=O)O,raw,,115.13,True,C5H9NO2,115.13,1.0,0.0,1.0,0.0,0.0,True,1.0,secondary_amine,,,,,,,,
