entry,accession,split,Amine,Hydroxyl,measured,raw_full,raw_trimmed,delta,cal_full,cal_trimmed,embedding_cosine,comparable,gain
cluster111_B5D243,B5D243,dev,phenylalanine,Tri,False,0.0667,0.9783,0.9116,0.0679,0.8343,0.9901,True,0.9116
cluster111_B5D243,B5D243,dev,gaba,Tri,False,0.0243,0.9723,0.948,0.0264,0.8273,0.9901,True,0.9480000000000001
cluster18_A6LC91,A6LC91,dev,gaba,Tri,False,0.0258,0.9645,0.9387,0.0264,0.8273,0.9815,True,0.9387
cluster111_B5D243,B5D243,dev,phenylalanine,Di,False,0.0618,0.955,0.8932,0.0679,0.7921,0.9901,True,0.8932
cluster18_A6LC91,A6LC91,dev,phenylalanine,Tri,False,0.0503,0.95,0.8997,0.0679,0.7921,0.9815,True,0.8996999999999999
cluster111_B5D243,B5D243,dev,gaba,Di,False,0.0228,0.9481,0.9253,0.0264,0.7921,0.9901,True,0.9253
cluster424_A0A1Q6E5Z9,A0A1Q6E5Z9,dev,gaba,Tri,False,0.0284,0.9424,0.914,0.0264,0.7921,0.9916,True,0.914
cluster111_B5D243,B5D243,dev,alanine,Di,False,0.0558,0.9382,0.8824,0.0679,0.7921,0.9901,True,0.8824000000000001
cluster18_A6LC91,A6LC91,dev,gaba,Di,False,0.0216,0.9361,0.9145,0.0264,0.7921,0.9815,True,0.9145000000000001
cluster54_A0A069S9I0,A0A069S9I0,test,phenylalanine,Tri,False,0.0852,0.9324,0.8472,0.0758,0.7921,0.9923,True,0.8472
cluster424_A0A1Q6E5Z9,A0A1Q6E5Z9,dev,phenylalanine,Tri,False,0.076,0.9302,0.8542,0.0679,0.7921,0.9916,True,0.8542000000000001
cluster111_B5D243,B5D243,dev,asparagine,Tri,False,0.0976,0.929,0.8314,0.0758,0.7921,0.9901,True,0.8314
Moorena_SIO4A1_A0A6B3MYR8,A0A6B3MYR8,dev,gaba,Tri,False,0.0936,0.9271,0.8335,0.0758,0.7921,0.9903,True,0.8335
cluster18_A6LC91,A6LC91,dev,phenylalanine,Di,False,0.0411,0.9136,0.8725,0.046,0.7921,0.9815,True,0.8724999999999999
cluster54_A0A069S9I0,A0A069S9I0,test,gaba,Tri,False,0.0305,0.9116,0.8811,0.0264,0.7921,0.9923,True,0.8811
cluster424_A0A1Q6E5Z9,A0A1Q6E5Z9,dev,gaba,Di,False,0.0232,0.9083,0.8851,0.0264,0.7921,0.9916,True,0.8851
