amine,core,leaving_group,parent,reaction,balanced
"2,3_diaminopropionic acid",Mono,glycine,GLCA,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.NC(CN)C(=O)O>>C[C@H](CCC(=O)NC(CN)C(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.NCC(=O)O,True
"2,3_diaminopropionic acid",Mono,taurine,TLCA,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.NC(CN)C(=O)O>>C[C@H](CCC(=O)NC(CN)C(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.NCCS(=O)(=O)O,True
"2,3_diaminopropionic acid",Di,glycine,GDCA,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.NC(CN)C(=O)O>>C[C@H](CCC(=O)NC(CN)C(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.NCC(=O)O,True
"2,3_diaminopropionic acid",Di,taurine,TDCA,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.NC(CN)C(=O)O>>C[C@H](CCC(=O)NC(CN)C(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.NCCS(=O)(=O)O,True
"2,3_diaminopropionic acid",Tri,glycine,GCA,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.NC(CN)C(=O)O>>C[C@H](CCC(=O)NC(CN)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.NCC(=O)O,True
"2,3_diaminopropionic acid",Tri,taurine,TCA,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.NC(CN)C(=O)O>>C[C@H](CCC(=O)NC(CN)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.NCCS(=O)(=O)O,True
3_methoxytyramine,Mono,glycine,GLCA,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.COC1=C(C=CC(=C1)CCN)O>>COc1cc(CCNC(=O)CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4CC[C@@H]5C[C@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)ccc1O.NCC(=O)O,True
3_methoxytyramine,Mono,taurine,TLCA,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.COC1=C(C=CC(=C1)CCN)O>>COc1cc(CCNC(=O)CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4CC[C@@H]5C[C@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)ccc1O.NCCS(=O)(=O)O,True
3_methoxytyramine,Di,glycine,GDCA,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.COC1=C(C=CC(=C1)CCN)O>>COc1cc(CCNC(=O)CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4CCC5C[C@H](O)CC[C@]5(C)[C@H]4C[C@H](O)[C@]23C)ccc1O.NCC(=O)O,True
3_methoxytyramine,Di,taurine,TDCA,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.COC1=C(C=CC(=C1)CCN)O>>COc1cc(CCNC(=O)CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4CCC5C[C@H](O)CC[C@]5(C)[C@H]4C[C@H](O)[C@]23C)ccc1O.NCCS(=O)(=O)O,True
3_methoxytyramine,Tri,glycine,GCA,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.COC1=C(C=CC(=C1)CCN)O>>COc1cc(CCNC(=O)CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4[C@H](O)CC5C[C@H](O)CC[C@]5(C)[C@H]4C[C@H](O)[C@]23C)ccc1O.NCC(=O)O,True
3_methoxytyramine,Tri,taurine,TCA,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C.COC1=C(C=CC(=C1)CCN)O>>COc1cc(CCNC(=O)CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4[C@H](O)CC5C[C@H](O)CC[C@]5(C)[C@H]4C[C@H](O)[C@]23C)ccc1O.NCCS(=O)(=O)O,True
