embedding,scheme,residues,dim,rounds,rounds_per_fold,pr_auc,roc_auc,log_loss,brier,mcc,bal_acc,f1,precision,recall,specificity,within_mean,within_median,n_groups,tp,fp,fn,tn
ProstT5,whole mean,332,1024,669,"[854, 615, 992, 607, 669]",0.7937,0.9226,0.3063,0.0869,0.6943,0.8539,0.7667,0.7456,0.789,0.9189,0.6553,0.7042,41,1260,430,337,4873
ProstT5,whole mean+max,332,2048,619,"[742, 480, 886, 391, 619]",0.8014,0.923,0.3031,0.087,0.6933,0.854,0.766,0.7432,0.7902,0.9178,0.6703,0.6744,41,1262,436,335,4867
ProstT5,non-conserved <0.30,43,1024,646,"[840, 447, 926, 587, 646]",0.8034,0.9282,0.2882,0.0835,0.6825,0.8392,0.7553,0.7618,0.7489,0.9295,0.6768,0.7025,41,1196,374,401,4929
ProstT5,non-conserved <0.60,200,1024,692,"[692, 845, 910, 537, 627]",0.7945,0.9264,0.2947,0.0843,0.6965,0.8487,0.7669,0.7654,0.7683,0.9291,0.6756,0.7298,41,1227,376,370,4927
ProstT5,conserved >=0.60,80,1024,678,"[1213, 592, 678, 402, 771]",0.7957,0.9281,0.2938,0.0834,0.7008,0.8515,0.7703,0.7667,0.774,0.9291,0.6523,0.686,41,1236,376,361,4927
ProstT5,conserved >=0.75,43,1024,742,"[1238, 484, 742, 361, 985]",0.7897,0.9306,0.291,0.0822,0.6927,0.8438,0.763,0.7711,0.7552,0.9325,0.6591,0.7055,41,1206,358,391,4945
ProstT5,active site only,6,1024,704,"[930, 388, 1056, 353, 704]",0.7845,0.9158,0.3079,0.0896,0.6626,0.8244,0.738,0.7603,0.717,0.9319,0.607,0.5976,41,1145,361,452,4942
ProtT5,whole mean,332,1024,638,"[872, 440, 1038, 638, 559]",0.7872,0.9189,0.3124,0.0891,0.688,0.8519,0.7621,0.7376,0.7884,0.9155,0.6277,0.6104,41,1259,448,338,4855
ProtT5,whole mean+max,332,2048,716,"[1273, 480, 963, 566, 716]",0.803,0.9292,0.2925,0.083,0.7002,0.8546,0.7707,0.7568,0.7852,0.924,0.6528,0.672,41,1254,403,343,4900
ProtT5,non-conserved <0.30,43,1024,627,"[793, 616, 1055, 384, 627]",0.7815,0.9152,0.3109,0.09,0.6583,0.8222,0.7346,0.7573,0.7132,0.9312,0.6179,0.589,41,1139,365,458,4938
ProtT5,non-conserved <0.60,200,1024,764,"[988, 362, 884, 383, 764]",0.788,0.9205,0.3074,0.0876,0.6861,0.8477,0.76,0.7453,0.7752,0.9202,0.6276,0.5854,41,1238,423,359,4880
ProtT5,conserved >=0.60,80,1024,620,"[931, 485, 666, 311, 620]",0.7969,0.9246,0.2999,0.0856,0.6992,0.8547,0.7701,0.7544,0.7865,0.9229,0.6717,0.6913,41,1256,409,341,4894
ProtT5,conserved >=0.75,43,1024,595,"[1221, 197, 786, 370, 595]",0.7874,0.9266,0.2967,0.085,0.6859,0.8416,0.7582,0.7625,0.7539,0.9293,0.6565,0.6822,41,1204,375,393,4928
ProtT5,active site only,6,1024,759,"[1063, 559, 759, 360, 830]",0.7916,0.9265,0.2961,0.0836,0.699,0.8526,0.7695,0.7596,0.7796,0.9257,0.662,0.7081,41,1245,394,352,4909
ESM-3,whole mean,332,1536,622,"[1092, 913, 419, 390, 622]",0.7798,0.9261,0.3036,0.0872,0.6937,0.8554,0.7668,0.7405,0.7951,0.9156,0.6252,0.631,41,1261,442,325,4797
ESM-3,whole mean+max,332,3072,664,"[1092, 1039, 498, 363, 664]",0.785,0.9256,0.2962,0.0846,0.703,0.8563,0.7732,0.7582,0.7888,0.9238,0.6243,0.6153,41,1251,399,335,4840
ESM-3,non-conserved <0.30,43,1536,520,"[956, 1266, 520, 505, 511]",0.7868,0.9231,0.3055,0.0881,0.684,0.8468,0.7587,0.7438,0.7743,0.9193,0.6105,0.5543,41,1228,423,358,4816
ESM-3,non-conserved <0.60,200,1536,606,"[846, 888, 347, 533, 606]",0.774,0.9213,0.3154,0.0904,0.6984,0.8585,0.7705,0.742,0.8014,0.9156,0.606,0.5624,41,1271,442,315,4797
ESM-3,conserved >=0.60,80,1536,508,"[819, 896, 481, 508, 276]",0.7759,0.9206,0.3159,0.0918,0.6854,0.8539,0.761,0.7265,0.7989,0.909,0.6232,0.6762,41,1267,477,319,4762
ESM-3,conserved >=0.75,43,1536,537,"[877, 851, 461, 537, 383]",0.7907,0.9266,0.3006,0.087,0.7077,0.8637,0.7776,0.7475,0.8102,0.9172,0.6544,0.7011,41,1285,434,301,4805
ESM-3,active site only,6,1536,770,"[932, 1192, 467, 502, 770]",0.7901,0.9269,0.2985,0.0858,0.6989,0.8559,0.7704,0.7506,0.7913,0.9204,0.645,0.6786,41,1255,417,331,4822
