Enzyme,Amine,Hydroxyl
A0A078S2R5,"2,3_diaminopropionic acid",Di
A0A078S2R5,"2,3_diaminopropionic acid",Mono
A0A078S2R5,"2,3_diaminopropionic acid",Tri
A0A078S2R5,2_aminophenol,Di
A0A078S2R5,2_aminophenol,Mono
A0A078S2R5,2_aminophenol,Tri
A0A078S2R5,3_methoxytyramine,Di
A0A078S2R5,3_methoxytyramine,Mono
A0A078S2R5,3_methoxytyramine,Tri
A0A078S2R5,alanine,Di
A0A078S2R5,alanine,Mono
A0A078S2R5,alanine,Tri
A0A078S2R5,arginine,Di
A0A078S2R5,arginine,Mono
A0A078S2R5,arginine,Tri
A0A078S2R5,asparagine,Di
A0A078S2R5,asparagine,Mono
A0A078S2R5,asparagine,Tri
A0A078S2R5,cadaverine,Di
A0A078S2R5,cadaverine,Mono
A0A078S2R5,cadaverine,Tri
A0A078S2R5,citrulline,Di
A0A078S2R5,citrulline,Mono
A0A078S2R5,citrulline,Tri
A0A078S2R5,cystine,Di
A0A078S2R5,cystine,Mono
A0A078S2R5,cystine,Tri
A0A078S2R5,dopamine,Di
A0A078S2R5,dopamine,Mono
A0A078S2R5,dopamine,Tri
A0A078S2R5,gaba,Di
A0A078S2R5,gaba,Mono
A0A078S2R5,gaba,Tri
A0A078S2R5,glutamine,Di
A0A078S2R5,glutamine,Mono
A0A078S2R5,glutamine,Tri
A0A078S2R5,glyglycine,Di
A0A078S2R5,glyglycine,Mono
A0A078S2R5,glyglycine,Tri
A0A078S2R5,histidine,Di
A0A078S2R5,histidine,Mono
A0A078S2R5,histidine,Tri
A0A078S2R5,lysine,Di
A0A078S2R5,lysine,Mono
A0A078S2R5,lysine,Tri
A0A078S2R5,methionine,Di
A0A078S2R5,methionine,Mono
A0A078S2R5,methionine,Tri
A0A078S2R5,ornithine,Di
A0A078S2R5,ornithine,Mono
A0A078S2R5,ornithine,Tri
A0A078S2R5,phenylalanine,Di
A0A078S2R5,phenylalanine,Mono
A0A078S2R5,phenylalanine,Tri
A0A078S2R5,proline,Di
A0A078S2R5,proline,Mono
A0A078S2R5,proline,Tri
A0A078S2R5,putrescine,Di
A0A078S2R5,putrescine,Mono
A0A078S2R5,putrescine,Tri
A0A078S2R5,serine,Di
A0A078S2R5,serine,Mono
A0A078S2R5,serine,Tri
A0A078S2R5,serotonin,Di
A0A078S2R5,serotonin,Mono
A0A078S2R5,serotonin,Tri
A0A078S2R5,threonine,Di
A0A078S2R5,threonine,Mono
A0A078S2R5,threonine,Tri
A0A078S2R5,tryptamine,Di
A0A078S2R5,tryptamine,Mono
A0A078S2R5,tryptamine,Tri
A0A078S2R5,tyramine,Di
A0A078S2R5,tyramine,Mono
A0A078S2R5,tyramine,Tri
A0A096B1U0,"2,3_diaminopropionic acid",Di
A0A096B1U0,"2,3_diaminopropionic acid",Mono
A0A096B1U0,"2,3_diaminopropionic acid",Tri
A0A096B1U0,2_aminophenol,Di
A0A096B1U0,2_aminophenol,Mono
A0A096B1U0,2_aminophenol,Tri
A0A096B1U0,3_methoxytyramine,Di
A0A096B1U0,3_methoxytyramine,Mono
A0A096B1U0,3_methoxytyramine,Tri
A0A096B1U0,alanine,Di
A0A096B1U0,alanine,Mono
A0A096B1U0,alanine,Tri
A0A096B1U0,arginine,Di
A0A096B1U0,arginine,Mono
A0A096B1U0,arginine,Tri
A0A096B1U0,asparagine,Di
A0A096B1U0,asparagine,Mono
A0A096B1U0,asparagine,Tri
A0A096B1U0,cadaverine,Di
A0A096B1U0,cadaverine,Mono
A0A096B1U0,cadaverine,Tri
A0A096B1U0,citrulline,Di
A0A096B1U0,citrulline,Mono
A0A096B1U0,citrulline,Tri
A0A096B1U0,cystine,Di
A0A096B1U0,cystine,Mono
A0A096B1U0,cystine,Tri
A0A096B1U0,dopamine,Di
A0A096B1U0,dopamine,Mono
A0A096B1U0,dopamine,Tri
A0A096B1U0,gaba,Di
A0A096B1U0,gaba,Mono
A0A096B1U0,gaba,Tri
A0A096B1U0,glutamine,Di
A0A096B1U0,glutamine,Mono
A0A096B1U0,glutamine,Tri
A0A096B1U0,glyglycine,Di
A0A096B1U0,glyglycine,Mono
A0A096B1U0,glyglycine,Tri
A0A096B1U0,histidine,Di
A0A096B1U0,histidine,Mono
A0A096B1U0,histidine,Tri
A0A096B1U0,lysine,Di
A0A096B1U0,lysine,Mono
A0A096B1U0,lysine,Tri
A0A096B1U0,methionine,Di
A0A096B1U0,methionine,Mono
A0A096B1U0,methionine,Tri
A0A096B1U0,ornithine,Di
A0A096B1U0,ornithine,Mono
A0A096B1U0,ornithine,Tri
A0A096B1U0,phenylalanine,Di
A0A096B1U0,phenylalanine,Mono
A0A096B1U0,phenylalanine,Tri
A0A096B1U0,proline,Di
A0A096B1U0,proline,Mono
A0A096B1U0,proline,Tri
A0A096B1U0,putrescine,Di
A0A096B1U0,putrescine,Mono
A0A096B1U0,putrescine,Tri
A0A096B1U0,serine,Di
A0A096B1U0,serine,Mono
A0A096B1U0,serine,Tri
A0A096B1U0,serotonin,Di
A0A096B1U0,serotonin,Mono
A0A096B1U0,serotonin,Tri
A0A096B1U0,threonine,Di
A0A096B1U0,threonine,Mono
A0A096B1U0,threonine,Tri
A0A096B1U0,tryptamine,Di
A0A096B1U0,tryptamine,Mono
A0A096B1U0,tryptamine,Tri
A0A096B1U0,tyramine,Di
A0A096B1U0,tyramine,Mono
A0A096B1U0,tyramine,Tri
A0A096KTH7,"2,3_diaminopropionic acid",Di
A0A096KTH7,"2,3_diaminopropionic acid",Mono
A0A096KTH7,"2,3_diaminopropionic acid",Tri
A0A096KTH7,2_aminophenol,Di
A0A096KTH7,2_aminophenol,Mono
A0A096KTH7,2_aminophenol,Tri
A0A096KTH7,3_methoxytyramine,Di
A0A096KTH7,3_methoxytyramine,Mono
A0A096KTH7,3_methoxytyramine,Tri
A0A096KTH7,alanine,Di
A0A096KTH7,alanine,Mono
A0A096KTH7,alanine,Tri
A0A096KTH7,arginine,Di
A0A096KTH7,arginine,Mono
A0A096KTH7,arginine,Tri
A0A096KTH7,asparagine,Di
A0A096KTH7,asparagine,Mono
A0A096KTH7,asparagine,Tri
A0A096KTH7,cadaverine,Di
A0A096KTH7,cadaverine,Mono
A0A096KTH7,cadaverine,Tri
A0A096KTH7,citrulline,Di
A0A096KTH7,citrulline,Mono
A0A096KTH7,citrulline,Tri
A0A096KTH7,cystine,Di
A0A096KTH7,cystine,Mono
A0A096KTH7,cystine,Tri
A0A096KTH7,dopamine,Di
A0A096KTH7,dopamine,Mono
A0A096KTH7,dopamine,Tri
A0A096KTH7,gaba,Di
A0A096KTH7,gaba,Mono
A0A096KTH7,gaba,Tri
A0A096KTH7,glutamine,Di
A0A096KTH7,glutamine,Mono
A0A096KTH7,glutamine,Tri
A0A096KTH7,glyglycine,Di
A0A096KTH7,glyglycine,Mono
A0A096KTH7,glyglycine,Tri
A0A096KTH7,histidine,Di
A0A096KTH7,histidine,Mono
A0A096KTH7,histidine,Tri
A0A096KTH7,lysine,Di
A0A096KTH7,lysine,Mono
A0A096KTH7,lysine,Tri
A0A096KTH7,methionine,Di
A0A096KTH7,methionine,Mono
A0A096KTH7,methionine,Tri
A0A096KTH7,ornithine,Di
A0A096KTH7,ornithine,Mono
A0A096KTH7,ornithine,Tri
A0A096KTH7,phenylalanine,Di
A0A096KTH7,phenylalanine,Mono
A0A096KTH7,phenylalanine,Tri
A0A096KTH7,proline,Di
A0A096KTH7,proline,Mono
A0A096KTH7,proline,Tri
A0A096KTH7,putrescine,Di
A0A096KTH7,putrescine,Mono
A0A096KTH7,putrescine,Tri
A0A096KTH7,serine,Di
A0A096KTH7,serine,Mono
A0A096KTH7,serine,Tri
A0A096KTH7,serotonin,Di
A0A096KTH7,serotonin,Mono
A0A096KTH7,serotonin,Tri
A0A096KTH7,threonine,Di
