embedding,model,dim,pr_auc,pr_sd,roc_auc,mcc,bal_acc,f1,precision,recall,specificity,log_loss,brier,within_substrate,tp,fp,fn,tn
ProtT5,LogisticRegression,1024,0.49652197827265737,0.04678060474948275,0.7936654408503844,0.34218152973284954,0.7208085053332002,0.4595271210013908,0.33549959382615757,0.7290379523389232,0.7125790583274771,0.7660697090239363,0.21518537837852256,0.5679012345679012,826,1636,307,4056
ProtT5,RandomForest,1024,0.6704503955841988,0.028755339644135368,0.9029580545061309,0.5495966018838757,0.7946798560280948,0.6283648051426276,0.5766961651917404,0.6902030008826125,0.899156711173577,0.33523533214304213,0.10034146027813098,0.6696306429548564,782,574,351,5118
ProtT5,XGBoost,1024,0.747540466348457,0.05752672849156237,0.9301813480340317,0.6665959087202964,0.8647304031176133,0.7228070175438597,0.6473463687150838,0.8181818181818182,0.9112789880534083,0.2825936599464307,0.08158178271525812,0.5821797165267648,927,505,206,5187
ProtT5,MLP,1024,0.6677189329384624,0.03682223391079112,0.8736720495900472,0.5598696534595626,0.7631504150387748,0.6255339345040342,0.6765913757700205,0.5816416593115622,0.9446591707659874,0.4282286000332001,0.09043485435258661,0.6187256551413671,659,315,474,5377
ESM-2,LogisticRegression,1280,0.477549903770415,0.11686455443698476,0.7787067710584962,0.3252746112641621,0.7127542007828767,0.4456839309428951,0.31876899696048633,0.7405119152691968,0.6849964862965565,0.8735120005454611,0.23640869084554839,0.5386141331196277,839,1793,294,3899
ESM-2,RandomForest,1280,0.6522183154642562,0.016257489353051123,0.895970033350721,0.5448423087090576,0.7887567227101848,0.6241830065359477,0.5809885931558936,0.6743159752868491,0.9031974701335207,0.3465812400390894,0.10354963453925917,0.6325581395348837,764,551,369,5141
ESM-2,XGBoost,1280,0.7429054146965083,0.06317973899600313,0.9329167180955418,0.6834136980900332,0.8735481551041117,0.7364310816087466,0.6603641456582633,0.8323036187113857,0.9147926914968376,0.28016306264801694,0.07973768529789371,0.6138892711343518,943,485,190,5207
ESM-2,MLP,1280,0.7196765798421878,0.06705138687616335,0.9038459391450133,0.6500311990946727,0.8444051948229161,0.7102574581119738,0.6613394216133942,0.7669902912621359,0.9218200983836964,0.5420896145491921,0.0877759559757995,0.6126159554730983,869,445,264,5247
ESM-3,LogisticRegression,1536,0.43596281588666963,0.07216212058745224,0.7728497716557948,0.30982874359126916,0.7035160758910324,0.4346917450365726,0.30871985157699444,0.7343336275375111,0.6726985242445538,0.965841495453504,0.24774547051384127,0.5701114627769369,832,1863,301,3829
ESM-3,RandomForest,1536,0.6302986462172947,0.04521099349628739,0.890885087321578,0.4904975212990366,0.7834130558427648,0.579885877318117,0.4865350089766607,0.7175639894086496,0.8492621222768798,0.36489454494093737,0.1122121533503866,0.6761066006146508,813,858,320,4834
ESM-3,XGBoost,1536,0.7530449826061985,0.06480603370706303,0.9376019919876396,0.6767058654897707,0.8779884311391656,0.7293318233295584,0.637203166226913,0.852603706972639,0.9033731553056922,0.28457137705901553,0.08213076039801831,0.6850377850748954,966,550,167,5142
ESM-3,MLP,1536,0.7221656211017592,0.06261801319867005,0.918360046369721,0.6684085561700518,0.8453463432364154,0.7250423011844331,0.6961819658813972,0.7563989408649603,0.9342937456078707,0.4885602605174361,0.08129407789250058,0.640217848136733,857,374,276,5318
ProstT5,LogisticRegression,1024,0.5206451584948785,0.08190786027901978,0.8085084344388835,0.377118870764094,0.7393579443501324,0.4862813776999416,0.3632795464457043,0.735216240070609,0.7434996486296557,0.6684751251321235,0.192230228465257,0.5947439511393,833,1460,300,4232
ProstT5,RandomForest,1024,0.6809335784819696,0.04766438161558485,0.9088859172130532,0.5638366871677746,0.7929668868339392,0.6389588581024349,0.6092874299439551,0.6716681376875552,0.9142656359803233,0.3267725130241884,0.09635965658785403,0.6946429005370465,761,488,372,5204
ProstT5,XGBoost,1024,0.7639839810514854,0.04970395049756084,0.9364836853135878,0.6970296906653912,0.8701598967659663,0.7486761710794297,0.6951588502269289,0.8111209179170344,0.9291988756148981,0.2580624201118818,0.07248366117593007,0.7049643548317288,919,403,214,5289
ProstT5,MLP,1024,0.7512405655015858,0.06578183027279094,0.9161925131135878,0.6649455448469249,0.8392475247463342,0.7217204301075268,0.7038590604026845,0.7405119152691968,0.9379831342234716,0.42339503735002765,0.07967495009876678,0.6664725851655943,839,353,294,5339
