entry,rho,top10_overlap,n_full_pos,n_trim_pos,flips,cos
A0A1Y4QH48,0.9867,10,12,11,1,0.7979
Aureitalea_A0A2S7KLN3,0.9741,10,13,12,1,0.8986
Blastospirellula_A0A2S8G2H3,0.984,9,12,12,0,0.9046
Blastospirellula_A0A2S8GTJ2,0.9929,10,12,12,0,0.9536
Desulfomarina_A0A8D5FTP2,0.9792,9,12,11,1,0.9103
Francisella_A0A5C2BYC4,0.9869,10,10,10,0,0.9233
Francisella_A0A5C2C0X5,0.9837,10,12,12,0,0.9276
Francisella_A0A5C2C1U8,0.9881,10,12,12,0,0.9258
Halodesulfovibrio_A0A1N6ECR1,0.9751,10,11,11,0,0.798
Lysinibacillus_PVA_P12256,0.9965,10,12,12,0,0.9794
Maribacter_A0A848U0C2,0.9714,9,13,12,1,0.9097
Mariniradius_M7X2M2,0.9965,10,12,12,0,0.9243
Marinobacter_A0A1I4P275,0.9844,10,12,12,0,0.9277
Melainabacteria_A0A952U252,0.9665,9,13,15,2,0.9317
Moorena_SIO4A1_A0A6B3MYR8,0.957,10,0,9,9,0.9153
Myroides_A0A7K1GNS5,0.978,10,10,12,2,0.9211
Okeania_SIO1F9_A0A6B3PBB6,0.9912,10,10,9,1,0.9719
Okeania_SIO1F9_A0A6B3PFJ7,0.9931,9,12,12,0,0.9362
Symploca_SIO2E9_A0A6B3M9R4,0.9659,10,0,12,12,0.9171
Vibrio_A0A7W2FPE8,0.9333,10,29,17,14,0.9375
cluster103_A0A349QN89,0.9858,10,27,28,1,0.9793
cluster111_B5D243,0.9495,9,0,12,12,0.9172
cluster116_A0A416W4H5,0.973,10,10,12,2,0.9269
cluster129_C0ERS1,0.9844,10,45,31,14,0.9613
cluster13_A0A1C7H271,0.9584,10,11,13,2,0.9121
cluster183_A0A096B1U0,0.9737,10,12,12,0,0.7301
cluster18_A6LC91,0.8972,9,0,12,12,0.8906
cluster200_A0A1Y3VSR9,0.9703,9,13,12,1,0.9171
cluster206_A0A174MBD8,0.9726,9,12,12,0,0.7396
cluster213_A0A0F5JPH2,0.9623,10,24,12,12,0.919
cluster21_A0A0P0FKS2,0.9464,10,0,11,11,0.9205
cluster239_A0A414M9L3,0.9417,10,27,19,8,0.8762
cluster23_A0A078S2R5,0.9663,10,30,18,12,0.9143
cluster245_A0A096DGB7,0.9863,10,12,12,0,0.9445
cluster247_A0A3E4KT54,0.9462,9,21,11,10,0.9378
cluster269_A0A0F0CI09,0.9847,10,12,12,0,0.7414
cluster272_A0A1E3ADP5,0.9685,9,12,12,0,0.719
cluster285_A0A1C6E707,0.9789,9,12,12,0,0.7327
cluster31_A0A8J7U9Z7,0.9742,10,2,12,10,0.9062
cluster359_A0A357TLK7,0.9769,10,12,11,1,0.7549
cluster362_A0A6N3FX58,0.9389,10,11,15,4,0.9059
cluster363_A0A3N2MZX6,0.8996,9,23,12,11,0.9311
cluster365_R7PBA0,0.9418,9,21,13,8,0.9197
cluster369_A0A412TTM9,0.9508,10,16,14,6,0.9382
cluster38_A0A1M3L7G3,0.9629,10,16,14,6,0.9325
cluster395_A0A1Y3YYW1,0.9638,9,11,12,1,0.9208
cluster406_A0A414Q275,0.9223,10,27,14,13,0.9311
cluster424_A0A1Q6E5Z9,0.9387,9,0,13,13,0.9216
cluster460_A7VQ44,0.9898,10,12,11,1,0.9273
cluster470_A0A1Q6RAM4,0.9575,10,12,12,0,0.7312
cluster4_A0A0P0LK75,0.9646,10,4,12,8,0.8908
cluster518_B0MC37,0.9959,10,13,13,0,0.9744
cluster524_C0CIF5,0.9896,10,13,13,0,0.9502
cluster525_A0A0S2W269,0.9564,10,12,12,0,0.736
cluster537_B7AVX6,0.9508,10,17,24,7,0.952
cluster54_A0A069S9I0,0.9631,9,15,14,5,0.9306
cluster5_A7A5K1,0.9652,9,14,12,2,0.8965
cluster674_H1DEM8,0.9746,10,16,13,3,0.9364
cluster6_U2D571,0.9863,8,12,15,3,0.9795
cluster70_A0A1Y3QT37,0.9679,9,26,12,14,0.9191
cluster726_A0A942AQR8,0.9058,9,28,14,14,0.9375
cluster838_A0A3D3YKZ5,0.9543,9,0,11,11,0.9268
cluster83_A0A1Q6F0C9,0.9746,9,12,12,0,0.7309
cluster8_A0A1C5S406,0.9854,9,22,16,6,0.9358
cluster960_G5H9U7,0.992,10,12,12,0,0.9499
