entry,cut_cosine,mean_abs_delta,max_abs_delta,flips,n
cluster129_C0ERS1,0.9613,0.2026,0.6546,14,75
cluster111_B5D243,0.9172,0.2,0.9374,12,75
cluster18_A6LC91,0.8906,0.1995,0.9667,12,75
cluster424_A0A1Q6E5Z9,0.9216,0.1963,0.9605,13,75
cluster70_A0A1Y3QT37,0.9191,0.1836,0.6494,14,75
cluster726_A0A942AQR8,0.9375,0.1588,0.6457,14,75
cluster363_A0A3N2MZX6,0.9311,0.1486,0.6948,11,75
cluster23_A0A078S2R5,0.9143,0.1433,0.5787,12,75
cluster406_A0A414Q275,0.9311,0.136,0.548,13,75
cluster838_A0A3D3YKZ5,0.9268,0.1284,0.8863,11,75
cluster21_A0A0P0FKS2,0.9205,0.1252,0.8581,11,75
Vibrio_A0A7W2FPE8,0.9375,0.1238,0.5648,14,75
cluster362_A0A6N3FX58,0.9059,0.1164,0.4733,4,75
Moorena_SIO4A1_A0A6B3MYR8,0.9153,0.1125,0.852,9,75
Symploca_SIO2E9_A0A6B3M9R4,0.9171,0.1117,0.7301,12,75
cluster213_A0A0F5JPH2,0.919,0.1091,0.6287,12,75
cluster239_A0A414M9L3,0.8762,0.0971,0.5314,8,75
cluster247_A0A3E4KT54,0.9378,0.0955,0.5697,10,75
cluster8_A0A1C5S406,0.9358,0.0927,0.4327,6,75
cluster537_B7AVX6,0.952,0.0897,0.609,7,75
cluster365_R7PBA0,0.9197,0.0827,0.609,8,75
cluster31_A0A8J7U9Z7,0.9062,0.0802,0.5577,10,75
cluster4_A0A0P0LK75,0.8908,0.0725,0.4945,8,75
cluster395_A0A1Y3YYW1,0.9208,0.0681,0.4028,1,75
Melainabacteria_A0A952U252,0.9317,0.0668,0.4151,2,75
cluster369_A0A412TTM9,0.9382,0.0612,0.4933,6,75
cluster38_A0A1M3L7G3,0.9325,0.0551,0.4455,6,75
cluster54_A0A069S9I0,0.9306,0.0466,0.2866,5,75
cluster674_H1DEM8,0.9364,0.0455,0.2468,3,75
cluster6_U2D571,0.9795,0.0417,0.2895,3,75
cluster5_A7A5K1,0.8965,0.0415,0.2298,2,75
cluster359_A0A357TLK7,0.7549,0.041,0.4047,1,75
cluster206_A0A174MBD8,0.7396,0.0401,0.2755,0,75
Maribacter_A0A848U0C2,0.9097,0.0364,0.3715,1,75
cluster13_A0A1C7H271,0.9121,0.0361,0.1974,2,75
cluster103_A0A349QN89,0.9793,0.0345,0.1811,1,75
cluster200_A0A1Y3VSR9,0.9171,0.0344,0.3923,1,75
cluster116_A0A416W4H5,0.9269,0.0319,0.2158,2,75
cluster269_A0A0F0CI09,0.7414,0.0302,0.167,0,75
Aureitalea_A0A2S7KLN3,0.8986,0.029,0.3735,1,75
cluster460_A7VQ44,0.9273,0.0246,0.1354,1,75
cluster83_A0A1Q6F0C9,0.7309,0.0239,0.2952,0,75
Myroides_A0A7K1GNS5,0.9211,0.0236,0.1323,2,75
Okeania_SIO1F9_A0A6B3PBB6,0.9719,0.0235,0.1714,1,75
Blastospirellula_A0A2S8GTJ2,0.9536,0.0234,0.1311,0,75
cluster183_A0A096B1U0,0.7301,0.023,0.1641,0,75
cluster470_A0A1Q6RAM4,0.7312,0.0218,0.2871,0,75
cluster525_A0A0S2W269,0.736,0.0215,0.1589,0,75
Okeania_SIO1F9_A0A6B3PFJ7,0.9362,0.0205,0.1231,0,75
cluster524_C0CIF5,0.9502,0.0205,0.1302,0,75
cluster285_A0A1C6E707,0.7327,0.0194,0.2005,0,75
Francisella_A0A5C2C0X5,0.9276,0.0183,0.2132,0,75
Desulfomarina_A0A8D5FTP2,0.9103,0.0183,0.2202,1,75
cluster245_A0A096DGB7,0.9445,0.0183,0.1105,0,75
cluster272_A0A1E3ADP5,0.719,0.0177,0.1596,0,75
Marinobacter_A0A1I4P275,0.9277,0.0162,0.1327,0,75
A0A1Y4QH48,0.7979,0.0154,0.2627,1,75
Francisella_A0A5C2C1U8,0.9258,0.0135,0.1017,0,75
Halodesulfovibrio_A0A1N6ECR1,0.798,0.0133,0.0695,0,75
cluster960_G5H9U7,0.9499,0.012,0.0925,0,75
Francisella_A0A5C2BYC4,0.9233,0.0119,0.0721,0,75
Blastospirellula_A0A2S8G2H3,0.9046,0.0102,0.0871,0,75
Lysinibacillus_PVA_P12256,0.9794,0.009,0.0697,0,75
Mariniradius_M7X2M2,0.9243,0.0086,0.0516,0,75
cluster518_B0MC37,0.9744,0.0079,0.0794,0,75
