Enzyme,Amine,Hydroxyl,active,raw,calibrated
A0A078S2R5,"2,3_diaminopropionic acid",Di,1,0.0616,0.0529
A0A078S2R5,"2,3_diaminopropionic acid",Mono,0,0.0335,0.0409
A0A078S2R5,"2,3_diaminopropionic acid",Tri,1,0.3652,0.2815
A0A078S2R5,2_aminophenol,Di,1,0.9145,0.8636
A0A078S2R5,2_aminophenol,Mono,1,0.306,0.2692
A0A078S2R5,2_aminophenol,Tri,1,0.8834,0.8235
A0A078S2R5,3_methoxytyramine,Di,1,0.5258,0.4014
A0A078S2R5,3_methoxytyramine,Mono,0,0.0958,0.0915
A0A078S2R5,3_methoxytyramine,Tri,1,0.4546,0.3936
A0A078S2R5,alanine,Di,1,0.9232,0.8636
A0A078S2R5,alanine,Mono,1,0.9014,0.8571
A0A078S2R5,alanine,Tri,1,0.296,0.2692
A0A078S2R5,arginine,Di,0,0.0104,0.0101
A0A078S2R5,arginine,Mono,0,0.0032,0.0101
A0A078S2R5,arginine,Tri,0,0.0187,0.0202
A0A078S2R5,asparagine,Di,0,0.0847,0.0529
A0A078S2R5,asparagine,Mono,0,0.0847,0.0529
A0A078S2R5,asparagine,Tri,1,0.8214,0.7
A0A078S2R5,cadaverine,Di,0,0.0087,0.0101
A0A078S2R5,cadaverine,Mono,0,0.0034,0.0101
A0A078S2R5,cadaverine,Tri,0,0.0114,0.0114
A0A078S2R5,citrulline,Di,0,0.0414,0.0529
A0A078S2R5,citrulline,Mono,0,0.0109,0.0101
A0A078S2R5,citrulline,Tri,0,0.0132,0.0137
A0A078S2R5,cystine,Di,0,0.0287,0.0391
A0A078S2R5,cystine,Mono,0,0.011,0.0101
A0A078S2R5,cystine,Tri,0,0.0383,0.0529
A0A078S2R5,dopamine,Di,1,0.6092,0.4638
A0A078S2R5,dopamine,Mono,0,0.2378,0.1455
A0A078S2R5,dopamine,Tri,1,0.9354,0.8636
A0A078S2R5,gaba,Di,1,0.9809,0.9082
A0A078S2R5,gaba,Mono,1,0.9804,0.9082
A0A078S2R5,gaba,Tri,1,0.9808,0.9082
A0A078S2R5,glutamine,Di,0,0.1858,0.1127
A0A078S2R5,glutamine,Mono,1,0.6288,0.4857
A0A078S2R5,glutamine,Tri,0,0.1266,0.0915
A0A078S2R5,glyglycine,Di,0,0.0168,0.0202
A0A078S2R5,glyglycine,Mono,0,0.0113,0.0114
A0A078S2R5,glyglycine,Tri,0,0.0592,0.0529
A0A078S2R5,histidine,Di,0,0.0051,0.0101
A0A078S2R5,histidine,Mono,0,0.0036,0.0101
A0A078S2R5,histidine,Tri,0,0.0155,0.0202
A0A078S2R5,lysine,Di,0,0.1936,0.1127
A0A078S2R5,lysine,Mono,0,0.0258,0.0391
A0A078S2R5,lysine,Tri,0,0.0245,0.0391
A0A078S2R5,methionine,Di,0,0.0736,0.0529
A0A078S2R5,methionine,Mono,1,0.0665,0.0529
A0A078S2R5,methionine,Tri,0,0.0907,0.0529
A0A078S2R5,ornithine,Di,1,0.1249,0.0915
A0A078S2R5,ornithine,Mono,1,0.0397,0.0529
A0A078S2R5,ornithine,Tri,0,0.0398,0.0529
A0A078S2R5,phenylalanine,Di,1,0.9231,0.8636
A0A078S2R5,phenylalanine,Mono,1,0.1966,0.1127
A0A078S2R5,phenylalanine,Tri,1,0.9229,0.8636
A0A078S2R5,proline,Di,0,0.0055,0.0101
A0A078S2R5,proline,Mono,0,0.0062,0.0101
A0A078S2R5,proline,Tri,1,0.0258,0.0391
A0A078S2R5,putrescine,Di,0,0.0088,0.0101
A0A078S2R5,putrescine,Mono,0,0.0035,0.0101
A0A078S2R5,putrescine,Tri,0,0.0116,0.0114
A0A078S2R5,serine,Di,0,0.1555,0.1127
A0A078S2R5,serine,Mono,1,0.1483,0.1127
A0A078S2R5,serine,Tri,0,0.1277,0.0915
A0A078S2R5,serotonin,Di,0,0.0201,0.0301
A0A078S2R5,serotonin,Mono,1,0.1769,0.1127
A0A078S2R5,serotonin,Tri,0,0.0216,0.0301
A0A078S2R5,threonine,Di,0,0.0649,0.0529
A0A078S2R5,threonine,Mono,0,0.0825,0.0529
A0A078S2R5,threonine,Tri,0,0.0143,0.0202
A0A078S2R5,tryptamine,Di,0,0.0172,0.0202
A0A078S2R5,tryptamine,Mono,0,0.0037,0.0101
A0A078S2R5,tryptamine,Tri,0,0.0257,0.0391
A0A078S2R5,tyramine,Di,0,0.0531,0.0529
A0A078S2R5,tyramine,Mono,1,0.238,0.1757
A0A078S2R5,tyramine,Tri,0,0.053,0.0529
A0A096B1U0,"2,3_diaminopropionic acid",Di,0,0.0126,0.0137
A0A096B1U0,"2,3_diaminopropionic acid",Mono,0,0.0114,0.0114
A0A096B1U0,"2,3_diaminopropionic acid",Tri,0,0.1288,0.0915
A0A096B1U0,2_aminophenol,Di,1,0.8225,0.7
A0A096B1U0,2_aminophenol,Mono,0,0.207,0.1127
A0A096B1U0,2_aminophenol,Tri,1,0.761,0.5287
A0A096B1U0,3_methoxytyramine,Di,0,0.0359,0.0409
A0A096B1U0,3_methoxytyramine,Mono,0,0.0106,0.0101
A0A096B1U0,3_methoxytyramine,Tri,0,0.0413,0.0529
A0A096B1U0,alanine,Di,1,0.9199,0.8636
A0A096B1U0,alanine,Mono,1,0.914,0.8636
A0A096B1U0,alanine,Tri,0,0.1599,0.1127
A0A096B1U0,arginine,Di,0,0.0036,0.0101
A0A096B1U0,arginine,Mono,0,0.0018,0.0023
A0A096B1U0,arginine,Tri,0,0.0076,0.0101
A0A096B1U0,asparagine,Di,0,0.0403,0.0529
A0A096B1U0,asparagine,Mono,0,0.0816,0.0529
A0A096B1U0,asparagine,Tri,1,0.8322,0.7
A0A096B1U0,cadaverine,Di,0,0.0029,0.0101
A0A096B1U0,cadaverine,Mono,0,0.0016,0.0023
A0A096B1U0,cadaverine,Tri,0,0.0032,0.0101
A0A096B1U0,citrulline,Di,0,0.0245,0.0391
A0A096B1U0,citrulline,Mono,0,0.0089,0.0101
A0A096B1U0,citrulline,Tri,0,0.0075,0.0101
A0A096B1U0,cystine,Di,0,0.0046,0.0101
A0A096B1U0,cystine,Mono,0,0.0036,0.0101
A0A096B1U0,cystine,Tri,0,0.0088,0.0101
A0A096B1U0,dopamine,Di,0,0.1292,0.0915
A0A096B1U0,dopamine,Mono,0,0.0666,0.0529
A0A096B1U0,dopamine,Tri,1,0.8002,0.7
A0A096B1U0,gaba,Di,1,0.9774,0.9082
A0A096B1U0,gaba,Mono,1,0.9863,0.9214
A0A096B1U0,gaba,Tri,1,0.9757,0.9082
A0A096B1U0,glutamine,Di,0,0.1585,0.1127
A0A096B1U0,glutamine,Mono,1,0.7594,0.5287
A0A096B1U0,glutamine,Tri,0,0.1281,0.0915
A0A096B1U0,glyglycine,Di,0,0.0064,0.0101
A0A096B1U0,glyglycine,Mono,0,0.0058,0.0101
A0A096B1U0,glyglycine,Tri,0,0.0317,0.0409
A0A096B1U0,histidine,Di,0,0.0024,0.0101
A0A096B1U0,histidine,Mono,0,0.0022,0.0023
A0A096B1U0,histidine,Tri,0,0.0097,0.0101
A0A096B1U0,lysine,Di,0,0.0862,0.0529
A0A096B1U0,lysine,Mono,0,0.0113,0.0114
A0A096B1U0,lysine,Tri,0,0.0073,0.0101
A0A096B1U0,methionine,Di,0,0.0477,0.0529
A0A096B1U0,methionine,Mono,0,0.0557,0.0529
A0A096B1U0,methionine,Tri,0,0.0566,0.0529
A0A096B1U0,ornithine,Di,0,0.0193,0.0202
A0A096B1U0,ornithine,Mono,0,0.0069,0.0101
A0A096B1U0,ornithine,Tri,0,0.0051,0.0101
A0A096B1U0,phenylalanine,Di,1,0.9077,0.8636
A0A096B1U0,phenylalanine,Mono,0,0.2139,0.1127
A0A096B1U0,phenylalanine,Tri,1,0.919,0.8636
A0A096B1U0,proline,Di,0,0.0023,0.0023
A0A096B1U0,proline,Mono,0,0.0044,0.0101
