accession,amine,core,leaving_group,parent,score
A0A069S9I0,"2,3_diaminopropionic acid",Mono,glycine,GLCA,0.23023304343223572
A0A069S9I0,"2,3_diaminopropionic acid",Mono,taurine,TLCA,0.35416293144226074
A0A069S9I0,"2,3_diaminopropionic acid",Di,glycine,GDCA,0.3776766061782837
A0A069S9I0,"2,3_diaminopropionic acid",Di,taurine,TDCA,0.34271547198295593
A0A069S9I0,"2,3_diaminopropionic acid",Tri,glycine,GCA,0.3642639219760895
A0A069S9I0,"2,3_diaminopropionic acid",Tri,taurine,TCA,0.3258652687072754
A0A069S9I0,3_methoxytyramine,Mono,glycine,GLCA,0.08578111231327057
A0A069S9I0,3_methoxytyramine,Mono,taurine,TLCA,0.1279408484697342
A0A069S9I0,3_methoxytyramine,Di,glycine,GDCA,0.14871010184288025
A0A069S9I0,3_methoxytyramine,Di,taurine,TDCA,0.0449695885181427
A0A069S9I0,3_methoxytyramine,Tri,glycine,GCA,0.110552579164505
A0A069S9I0,3_methoxytyramine,Tri,taurine,TCA,0.05681005120277405
A0A069S9I0,asparagine,Mono,glycine,GLCA,0.21799920499324799
A0A069S9I0,asparagine,Mono,taurine,TLCA,0.4387163519859314
A0A069S9I0,asparagine,Di,glycine,GDCA,0.28243687748908997
A0A069S9I0,asparagine,Di,taurine,TDCA,0.35438352823257446
A0A069S9I0,asparagine,Tri,glycine,GCA,0.28822746872901917
A0A069S9I0,asparagine,Tri,taurine,TCA,0.32834863662719727
A0A069S9I0,proline,Mono,glycine,GLCA,0.30278265476226807
A0A069S9I0,proline,Mono,taurine,TLCA,0.4451291561126709
A0A069S9I0,proline,Di,glycine,GDCA,0.2593889832496643
A0A069S9I0,proline,Di,taurine,TDCA,0.2454804927110672
A0A069S9I0,proline,Tri,glycine,GCA,0.26917874813079834
A0A069S9I0,proline,Tri,taurine,TCA,0.19604025781154633
A0A069S9I0,dopamine,Mono,glycine,GLCA,0.1812131106853485
A0A069S9I0,dopamine,Mono,taurine,TLCA,0.28236496448516846
A0A069S9I0,dopamine,Di,glycine,GDCA,0.24272450804710388
A0A069S9I0,dopamine,Di,taurine,TDCA,0.21422243118286133
A0A069S9I0,dopamine,Tri,glycine,GCA,0.2509877681732178
A0A069S9I0,dopamine,Tri,taurine,TCA,0.1964697241783142
A0A069S9I0,gaba,Mono,glycine,GLCA,0.18711934983730316
A0A069S9I0,gaba,Mono,taurine,TLCA,0.23554719984531403
A0A069S9I0,gaba,Di,glycine,GDCA,0.22676703333854675
A0A069S9I0,gaba,Di,taurine,TDCA,0.17904505133628845
A0A069S9I0,gaba,Tri,glycine,GCA,0.25934845209121704
A0A069S9I0,gaba,Tri,taurine,TCA,0.195380300283432
