accession,amine,core,horizyn,rank
A0A069S9I0,"2,3_diaminopropionic acid",Di,0.3601960390806198,14
A0A069S9I0,"2,3_diaminopropionic acid",Mono,0.29219798743724823,29
A0A069S9I0,"2,3_diaminopropionic acid",Tri,0.34506459534168243,20
A0A069S9I0,2_aminophenol,Di,0.389730766415596,6
A0A069S9I0,2_aminophenol,Mono,0.3209179490804672,25
A0A069S9I0,2_aminophenol,Tri,0.32825131714344025,24
A0A069S9I0,3_methoxytyramine,Di,0.09683984518051147,74
A0A069S9I0,3_methoxytyramine,Mono,0.10686098039150238,72
A0A069S9I0,3_methoxytyramine,Tri,0.08368131518363953,75
A0A069S9I0,alanine,Di,0.1877005249261856,67
A0A069S9I0,alanine,Mono,0.24613440036773682,41
A0A069S9I0,alanine,Tri,0.20014271140098572,66
A0A069S9I0,arginine,Di,0.21675735712051392,58
A0A069S9I0,arginine,Mono,0.23298682272434235,48
A0A069S9I0,arginine,Tri,0.2503412142395973,39
A0A069S9I0,asparagine,Di,0.3184102028608322,26
A0A069S9I0,asparagine,Mono,0.3283577784895897,23
A0A069S9I0,asparagine,Tri,0.3082880526781082,27
A0A069S9I0,cadaverine,Di,0.23003840446472168,51
A0A069S9I0,cadaverine,Mono,0.22211428731679916,56
A0A069S9I0,cadaverine,Tri,0.2386791706085205,46
A0A069S9I0,citrulline,Di,0.34660978615283966,18
A0A069S9I0,citrulline,Mono,0.37683960795402527,10
A0A069S9I0,citrulline,Tri,0.33981409668922424,21
A0A069S9I0,cystine,Di,0.18086793273687363,68
A0A069S9I0,cystine,Mono,0.24529802799224854,43
A0A069S9I0,cystine,Tri,0.20574917644262314,64
A0A069S9I0,dopamine,Di,0.2284734696149826,52
A0A069S9I0,dopamine,Mono,0.23178903758525848,50
A0A069S9I0,dopamine,Tri,0.223728746175766,55
A0A069S9I0,gaba,Di,0.2029060423374176,65
A0A069S9I0,gaba,Mono,0.2113332748413086,60
A0A069S9I0,gaba,Tri,0.22736437618732452,53
A0A069S9I0,glutamine,Di,0.4016522467136383,3
A0A069S9I0,glutamine,Mono,0.346023291349411,19
A0A069S9I0,glutamine,Tri,0.3293605297803879,22
A0A069S9I0,glyglycine,Di,0.12424024939537048,71
A0A069S9I0,glyglycine,Mono,0.17905960232019424,69
A0A069S9I0,glyglycine,Tri,0.10034149140119553,73
A0A069S9I0,histidine,Di,0.35906171798706055,16
A0A069S9I0,histidine,Mono,0.3835773319005966,8
A0A069S9I0,histidine,Tri,0.377995565533638,9
A0A069S9I0,lysine,Di,0.2453819364309311,42
A0A069S9I0,lysine,Mono,0.21958991140127182,57
A0A069S9I0,lysine,Tri,0.25596243143081665,35
A0A069S9I0,methionine,Di,0.17071790248155594,70
A0A069S9I0,methionine,Mono,0.21659621596336365,59
A0A069S9I0,methionine,Tri,0.2063092365860939,63
A0A069S9I0,ornithine,Di,0.2351343333721161,47
A0A069S9I0,ornithine,Mono,0.21089280396699905,61
A0A069S9I0,ornithine,Tri,0.2761988937854767,32
A0A069S9I0,phenylalanine,Di,0.40613916516304016,2
A0A069S9I0,phenylalanine,Mono,0.39172936975955963,4
A0A069S9I0,phenylalanine,Tri,0.3664979636669159,12
A0A069S9I0,proline,Di,0.25243473798036575,36
A0A069S9I0,proline,Mono,0.3739559054374695,11
A0A069S9I0,proline,Tri,0.23260950297117233,49
A0A069S9I0,putrescine,Di,0.25176723301410675,37
A0A069S9I0,putrescine,Mono,0.2662993371486664,33
A0A069S9I0,putrescine,Tri,0.22606920450925827,54
A0A069S9I0,serine,Di,0.3850284069776535,7
A0A069S9I0,serine,Mono,0.3590874671936035,15
A0A069S9I0,serine,Tri,0.355831116437912,17
A0A069S9I0,serotonin,Di,0.28010642528533936,30
A0A069S9I0,serotonin,Mono,0.24729517102241516,40
A0A069S9I0,serotonin,Tri,0.30076897144317627,28
A0A069S9I0,threonine,Di,0.4237361252307892,1
A0A069S9I0,threonine,Mono,0.3902737945318222,5
A0A069S9I0,threonine,Tri,0.36082351207733154,13
A0A069S9I0,tryptamine,Di,0.24225258082151413,44
A0A069S9I0,tryptamine,Mono,0.20798319578170776,62
A0A069S9I0,tryptamine,Tri,0.23949894309043884,45
A0A069S9I0,tyramine,Di,0.2766583114862442,31
A0A069S9I0,tyramine,Mono,0.25156935304403305,38
A0A069S9I0,tyramine,Tri,0.2591838240623474,34
A0A078S2R5,"2,3_diaminopropionic acid",Di,0.33727486431598663,18
A0A078S2R5,"2,3_diaminopropionic acid",Mono,0.30980977416038513,26
A0A078S2R5,"2,3_diaminopropionic acid",Tri,0.322617307305336,23
A0A078S2R5,2_aminophenol,Di,0.3645171821117401,15
A0A078S2R5,2_aminophenol,Mono,0.33421026170253754,19
A0A078S2R5,2_aminophenol,Tri,0.30654177069664,27
A0A078S2R5,3_methoxytyramine,Di,0.06998494267463684,74
