entry,cut_cosine,mean_abs_delta,max_abs_delta,flips,n
cluster13_A0A1C7H271,0.9907,0.4154,0.9257,33,75
cluster129_C0ERS1,0.9961,0.2728,0.865,21,75
cluster23_A0A078S2R5,0.9905,0.1978,0.8479,14,75
Vibrio_A0A7W2FPE8,0.993,0.1886,0.83,10,75
cluster70_A0A1Y3QT37,0.9889,0.1753,0.7278,12,75
cluster111_B5D243,0.9901,0.164,0.948,12,75
cluster239_A0A414M9L3,0.9811,0.1595,0.8259,12,75
cluster726_A0A942AQR8,0.9921,0.1575,0.8272,11,75
cluster424_A0A1Q6E5Z9,0.9916,0.126,0.914,10,75
cluster18_A6LC91,0.9815,0.125,0.9387,10,75
cluster406_A0A414Q275,0.9927,0.1239,0.7541,7,75
cluster54_A0A069S9I0,0.9923,0.1118,0.8811,9,75
cluster363_A0A3N2MZX6,0.9906,0.0917,0.7698,6,75
Moorena_SIO4A1_A0A6B3MYR8,0.9903,0.0868,0.8335,8,75
cluster31_A0A8J7U9Z7,0.9856,0.0863,0.8713,6,75
cluster5_A7A5K1,0.9837,0.086,0.7251,8,75
cluster537_B7AVX6,0.9943,0.0744,0.6314,3,75
Maribacter_A0A848U0C2,0.9903,0.0658,0.8126,4,75
cluster213_A0A0F5JPH2,0.9909,0.063,0.7556,3,75
Aureitalea_A0A2S7KLN3,0.9855,0.0575,0.6782,2,75
cluster362_A0A6N3FX58,0.9866,0.0539,0.3311,3,75
Okeania_SIO1F9_A0A6B3PFJ7,0.9928,0.0508,0.6267,2,75
cluster247_A0A3E4KT54,0.991,0.0486,0.6942,1,75
cluster21_A0A0P0FKS2,0.9894,0.047,0.5754,4,75
cluster38_A0A1M3L7G3,0.9925,0.0468,0.7401,1,75
cluster838_A0A3D3YKZ5,0.9891,0.0446,0.5751,3,75
cluster8_A0A1C5S406,0.9912,0.044,0.437,2,75
cluster960_G5H9U7,0.9945,0.0416,0.5613,2,75
cluster674_H1DEM8,0.9928,0.0388,0.5079,1,75
cluster395_A0A1Y3YYW1,0.9908,0.0324,0.3965,1,75
cluster6_U2D571,0.999,0.0324,0.3713,2,75
cluster365_R7PBA0,0.9909,0.0317,0.6927,2,75
cluster200_A0A1Y3VSR9,0.9898,0.0313,0.3214,1,75
cluster245_A0A096DGB7,0.9953,0.028,0.2343,0,75
cluster103_A0A349QN89,0.9985,0.0276,0.21,0,75
cluster369_A0A412TTM9,0.9927,0.0268,0.643,1,75
cluster269_A0A0F0CI09,0.9383,0.0251,0.257,1,75
Melainabacteria_A0A952U252,0.9922,0.0242,0.3311,3,75
Halodesulfovibrio_A0A1N6ECR1,0.957,0.0231,0.3016,4,75
cluster460_A7VQ44,0.9921,0.022,0.2309,0,75
cluster116_A0A416W4H5,0.9887,0.0211,0.2083,0,75
cluster524_C0CIF5,0.9971,0.0204,0.2884,1,75
cluster285_A0A1C6E707,0.943,0.0199,0.1772,0,75
Desulfomarina_A0A8D5FTP2,0.9874,0.0185,0.2835,1,75
cluster183_A0A096B1U0,0.9374,0.0184,0.2124,0,75
Marinobacter_A0A1I4P275,0.9896,0.0176,0.2823,0,75
Myroides_A0A7K1GNS5,0.989,0.0176,0.1986,0,75
Symploca_SIO2E9_A0A6B3M9R4,0.9884,0.0149,0.2437,0,75
cluster206_A0A174MBD8,0.9423,0.0149,0.2113,0,75
cluster470_A0A1Q6RAM4,0.9381,0.0138,0.1906,1,75
cluster272_A0A1E3ADP5,0.931,0.0135,0.2167,0,75
cluster83_A0A1Q6F0C9,0.9422,0.0131,0.1037,0,75
cluster525_A0A0S2W269,0.9372,0.0126,0.149,0,75
cluster4_A0A0P0LK75,0.9806,0.0124,0.1494,0,75
cluster518_B0MC37,0.9988,0.0123,0.2053,2,75
cluster359_A0A357TLK7,0.9469,0.0108,0.1318,0,75
Francisella_A0A5C2C0X5,0.9939,0.0097,0.0789,0,75
Lysinibacillus_PVA_P12256,0.9991,0.0095,0.1237,0,75
Francisella_A0A5C2C1U8,0.9908,0.0095,0.162,1,75
Blastospirellula_A0A2S8GTJ2,0.9965,0.0092,0.206,0,75
Francisella_A0A5C2BYC4,0.9922,0.0083,0.0823,0,75
A0A1Y4QH48,0.9695,0.0077,0.0954,0,75
Blastospirellula_A0A2S8G2H3,0.9881,0.0076,0.0841,0,75
Okeania_SIO1F9_A0A6B3PBB6,0.9982,0.0074,0.1658,1,75
Mariniradius_M7X2M2,0.9939,0.0049,0.0506,0,75
