Enzyme,Amine,Hydroxyl,active,raw,calibrated,was
A0A069S9I0,"2,3_diaminopropionic acid",Di,0,0.3064,0.22,test
A0A069S9I0,"2,3_diaminopropionic acid",Mono,0,0.102,0.0758,test
A0A069S9I0,"2,3_diaminopropionic acid",Tri,0,0.7899,0.7234,test
A0A069S9I0,2_aminophenol,Di,0,0.896,0.7547,test
A0A069S9I0,2_aminophenol,Mono,0,0.2895,0.1867,test
A0A069S9I0,2_aminophenol,Tri,0,0.9029,0.7921,test
A0A069S9I0,3_methoxytyramine,Di,0,0.5944,0.566,test
A0A069S9I0,3_methoxytyramine,Mono,0,0.0272,0.0264,test
A0A069S9I0,3_methoxytyramine,Tri,0,0.2457,0.1466,test
A0A069S9I0,alanine,Di,0,0.9833,0.8343,test
A0A069S9I0,alanine,Mono,0,0.8323,0.7547,test
A0A069S9I0,alanine,Tri,0,0.1918,0.1317,test
A0A069S9I0,arginine,Di,0,0.0031,0.0096,test
A0A069S9I0,arginine,Mono,0,0.0007,0.0069,test
A0A069S9I0,arginine,Tri,0,0.0039,0.0096,test
A0A069S9I0,asparagine,Di,0,0.1394,0.1192,test
A0A069S9I0,asparagine,Mono,0,0.0729,0.0679,test
A0A069S9I0,asparagine,Tri,0,0.9654,0.8273,test
A0A069S9I0,cadaverine,Di,0,0.0069,0.0157,test
A0A069S9I0,cadaverine,Mono,0,0.0024,0.0096,test
A0A069S9I0,cadaverine,Tri,0,0.0198,0.0264,test
A0A069S9I0,citrulline,Di,0,0.0102,0.0179,test
A0A069S9I0,citrulline,Mono,0,0.0017,0.0096,test
A0A069S9I0,citrulline,Tri,0,0.0046,0.0097,test
A0A069S9I0,cystine,Di,0,0.017,0.0264,test
A0A069S9I0,cystine,Mono,0,0.0019,0.0096,test
A0A069S9I0,cystine,Tri,0,0.0146,0.0264,test
A0A069S9I0,dopamine,Di,0,0.4745,0.37,test
A0A069S9I0,dopamine,Mono,0,0.0832,0.0741,test
A0A069S9I0,dopamine,Tri,0,0.9615,0.7921,test
A0A069S9I0,gaba,Di,0,0.9851,0.8343,test
A0A069S9I0,gaba,Mono,0,0.9737,0.8273,test
A0A069S9I0,gaba,Tri,0,0.9905,0.8873,test
A0A069S9I0,glutamine,Di,0,0.0283,0.0264,test
A0A069S9I0,glutamine,Mono,0,0.0128,0.0264,test
A0A069S9I0,glutamine,Tri,0,0.0171,0.0264,test
A0A069S9I0,glyglycine,Di,0,0.0231,0.0264,test
A0A069S9I0,glyglycine,Mono,0,0.0064,0.0157,test
A0A069S9I0,glyglycine,Tri,0,0.0348,0.046,test
A0A069S9I0,histidine,Di,0,0.0013,0.0096,test
A0A069S9I0,histidine,Mono,0,0.0007,0.0069,test
A0A069S9I0,histidine,Tri,0,0.0034,0.0096,test
A0A069S9I0,lysine,Di,0,0.1057,0.0758,test
A0A069S9I0,lysine,Mono,0,0.0173,0.0264,test
A0A069S9I0,lysine,Tri,0,0.0175,0.0264,test
A0A069S9I0,methionine,Di,0,0.0527,0.0679,test
A0A069S9I0,methionine,Mono,0,0.013,0.0264,test
A0A069S9I0,methionine,Tri,0,0.0267,0.0264,test
A0A069S9I0,ornithine,Di,0,0.0699,0.0679,test
A0A069S9I0,ornithine,Mono,0,0.0154,0.0264,test
A0A069S9I0,ornithine,Tri,0,0.0197,0.0264,test
A0A069S9I0,phenylalanine,Di,0,0.9903,0.8873,test
A0A069S9I0,phenylalanine,Mono,0,0.1722,0.1317,test
A0A069S9I0,phenylalanine,Tri,0,0.9925,0.8962,test
A0A069S9I0,proline,Di,0,0.0065,0.0157,test
A0A069S9I0,proline,Mono,0,0.007,0.0157,test
A0A069S9I0,proline,Tri,0,0.0483,0.0679,test
A0A069S9I0,putrescine,Di,0,0.0105,0.0179,test
A0A069S9I0,putrescine,Mono,0,0.0035,0.0096,test
A0A069S9I0,putrescine,Tri,0,0.0295,0.0264,test
A0A069S9I0,serine,Di,0,0.0536,0.0679,test
A0A069S9I0,serine,Mono,0,0.1145,0.0758,test
A0A069S9I0,serine,Tri,0,0.058,0.0679,test
A0A069S9I0,serotonin,Di,0,0.005,0.0097,test
A0A069S9I0,serotonin,Mono,0,0.0607,0.0679,test
A0A069S9I0,serotonin,Tri,0,0.012,0.0264,test
A0A069S9I0,threonine,Di,0,0.0082,0.0167,test
A0A069S9I0,threonine,Mono,0,0.0177,0.0264,test
A0A069S9I0,threonine,Tri,0,0.0018,0.0096,test
A0A069S9I0,tryptamine,Di,0,0.0061,0.0157,test
A0A069S9I0,tryptamine,Mono,0,0.0016,0.0096,test
A0A069S9I0,tryptamine,Tri,0,0.0191,0.0264,test
A0A069S9I0,tyramine,Di,0,0.037,0.046,test
A0A069S9I0,tyramine,Mono,0,0.3252,0.2642,test
A0A069S9I0,tyramine,Tri,0,0.069,0.0679,test
A0A078S2R5,"2,3_diaminopropionic acid",Di,1,0.1688,0.1317,dev
A0A078S2R5,"2,3_diaminopropionic acid",Mono,0,0.0295,0.0264,dev
A0A078S2R5,"2,3_diaminopropionic acid",Tri,1,0.5774,0.566,dev
A0A078S2R5,2_aminophenol,Di,1,0.8322,0.7547,dev
A0A078S2R5,2_aminophenol,Mono,1,0.1212,0.0781,dev
A0A078S2R5,2_aminophenol,Tri,1,0.8524,0.7547,dev
A0A078S2R5,3_methoxytyramine,Di,1,0.6592,0.5862,dev
A0A078S2R5,3_methoxytyramine,Mono,0,0.017,0.0264,dev
A0A078S2R5,3_methoxytyramine,Tri,0,0.2283,0.1466,dev
A0A078S2R5,alanine,Di,1,0.952,0.7921,dev
A0A078S2R5,alanine,Mono,1,0.5072,0.4048,dev
A0A078S2R5,alanine,Tri,0,0.0655,0.0679,dev
A0A078S2R5,arginine,Di,0,0.0026,0.0096,dev
A0A078S2R5,arginine,Mono,0,0.0005,0.0069,dev
A0A078S2R5,arginine,Tri,0,0.0031,0.0096,dev
A0A078S2R5,asparagine,Di,0,0.0478,0.0679,dev
A0A078S2R5,asparagine,Mono,0,0.0146,0.0264,dev
A0A078S2R5,asparagine,Tri,1,0.9254,0.7921,dev
A0A078S2R5,cadaverine,Di,0,0.0021,0.0096,dev
A0A078S2R5,cadaverine,Mono,0,0.0005,0.0069,dev
A0A078S2R5,cadaverine,Tri,0,0.0061,0.0157,dev
A0A078S2R5,citrulline,Di,0,0.0063,0.0157,dev
A0A078S2R5,citrulline,Mono,0,0.0008,0.0069,dev
A0A078S2R5,citrulline,Tri,0,0.0032,0.0096,dev
A0A078S2R5,cystine,Di,0,0.0187,0.0264,dev
A0A078S2R5,cystine,Mono,0,0.0012,0.0096,dev
