Enzyme,cluster
A0A6B3PFJ7,0
A0A5C2BYC4,1
A0A6B3MYR8,2
A0A6B3PBB6,2
A0A5C2C0X5,3
A0A078S2R5,4
A0A414M9L3,4
B5D243,4
A0A1C6E707,5
A7VQ44,6
A0A0F5JPH2,7
A0A3E4KT54,7
A6LC91,7
A0A096DGB7,8
A0A357TLK7,9
A0A8D5FTP2,10
A0A0F0CI09,11
A0A174MBD8,11
A0A414Q275,12
R7PBA0,13
A0A1Y3VSR9,14
A0A1Q6F0C9,15
A0A7W2FPE8,16
A0A1C7H271,17
A0A1M3L7G3,18
A0A1Q6E5Z9,19
A0A1Q6RAM4,20
A0A942AQR8,21
A0A069S9I0,22
A0A096B1U0,23
A0A0S2W269,23
A0A412TTM9,24
A0A1E3ADP5,25
A0A848U0C2,26
A0A6B3M9R4,27
A0A952U252,28
A0A0D8IVP2,29
A0A0M6WH75,29
A0A0M6WMX1,29
A0A0M6WSM3,29
A0A174DZA2,29
A0A174Z2R4,29
A0A174ZD20,29
A0A1C5L0B6,29
A0A1C5LGL2,29
A0A1C5M2J2,29
A0A1C5MIH1,29
A0A1C5MV31,29
A0A1C5PCN0,29
A0A1C5QNJ0,29
A0A1C5S406,29
A0A1C5V0T2,29
A0A1C5VKY6,29
A0A1C5X749,29
A0A1C6A728,29
A0A1C6E6X3,29
A0A1C6FDU7,29
A0A1Q6JXM9,29
A0A2T3FKY8,29
A0A2V1JL81,29
A0A316LWP8,29
A0A349QN89,29
A0A358VEZ8,29
A0A395V718,29
A0A396KEZ6,29
A0A3D4LSP0,29
A0A3E4LQA4,29
A0A3R6IUG4,29
A0A413RDG7,29
B7AVX6,29
C0ERS1,29
U2D571,29
A0A8J7U9Z7,30
A0A7K1GNS5,31
A0A0P0FKS2,32
G5H9N3,32
G5H9U7,32
A0A3D3YKZ5,33
A0A2S8G2H3,34
A0A1Y3QT37,35
A0A5C2C1U8,36
A7A5K1,37
Q9KK62,37
A0A416W4H5,38
A0A317T5Z6,39
A0A1I4P275,40
A0A3N2MZX6,41
C0CIF5,42
P12256,43
A0A2S8GTJ2,44
B0MC37,45
A0A173ZD58,46
A0A6I3NAM9,47
Q8Y9S7,48
A0A174CW35,49
A0A3D0HN78,50
A0A3Q0NGD6,51
Q8Y5J3,51
A0A0G8G768,52
A0A357TN00,53
A0A316R4M9,54
A0A373HJM3,55
A0A350THC0,56
A0A3E2XR62,57
A0A0B8QU93,58
A0A1Q6K9G3,59
A0A1Q6PYZ4,60
A0A350RPF7,61
A0A096KTH7,62
A0A1Q6M5M7,63
A0A1Y3TDY5,64
A0A1D2WV04,65
A0A395WCM1,66
A0A316Q414,67
A0A2S7KLN3,68
