accession,amine,core,horizyn,rank
A0A069S9I0,"2,3_diaminopropionic acid",Di,0.3949015140533447,7
A0A069S9I0,"2,3_diaminopropionic acid",Mono,0.31483863294124603,30
A0A069S9I0,"2,3_diaminopropionic acid",Tri,0.36255575716495514,18
A0A069S9I0,2_aminophenol,Di,0.4157203286886215,4
A0A069S9I0,2_aminophenol,Mono,0.333904892206192,24
A0A069S9I0,2_aminophenol,Tri,0.34338410198688507,22
A0A069S9I0,3_methoxytyramine,Di,0.11913297697901726,73
A0A069S9I0,3_methoxytyramine,Mono,0.13081130012869835,72
A0A069S9I0,3_methoxytyramine,Tri,0.08883965946733952,75
A0A069S9I0,alanine,Di,0.21441322565078735,64
A0A069S9I0,alanine,Mono,0.25726981461048126,48
A0A069S9I0,alanine,Tri,0.20145001262426376,69
A0A069S9I0,arginine,Di,0.22664611786603928,62
A0A069S9I0,arginine,Mono,0.24506313353776932,53
A0A069S9I0,arginine,Tri,0.2524401992559433,49
A0A069S9I0,asparagine,Di,0.3315161168575287,25
A0A069S9I0,asparagine,Mono,0.3288576006889343,26
A0A069S9I0,asparagine,Tri,0.31488656997680664,29
A0A069S9I0,cadaverine,Di,0.26048893481492996,46
A0A069S9I0,cadaverine,Mono,0.24610215425491333,52
A0A069S9I0,cadaverine,Tri,0.2409713715314865,54
A0A069S9I0,citrulline,Di,0.3730086237192154,14
A0A069S9I0,citrulline,Mono,0.3900804668664932,9
A0A069S9I0,citrulline,Tri,0.3529646694660187,20
A0A069S9I0,cystine,Di,0.2082698494195938,66
A0A069S9I0,cystine,Mono,0.26763373613357544,41
A0A069S9I0,cystine,Tri,0.21415330469608307,65
A0A069S9I0,dopamine,Di,0.2618011236190796,44
A0A069S9I0,dopamine,Mono,0.2645910903811455,42
A0A069S9I0,dopamine,Tri,0.24703439325094223,51
A0A069S9I0,gaba,Di,0.23037216067314148,59
A0A069S9I0,gaba,Mono,0.23964665830135345,56
A0A069S9I0,gaba,Tri,0.2315099984407425,58
A0A069S9I0,glutamine,Di,0.4188956469297409,3
A0A069S9I0,glutamine,Mono,0.3497297167778015,21
A0A069S9I0,glutamine,Tri,0.33426977694034576,23
A0A069S9I0,glyglycine,Di,0.15343191102147102,71
A0A069S9I0,glyglycine,Mono,0.20464308559894562,68
A0A069S9I0,glyglycine,Tri,0.11882587522268295,74
A0A069S9I0,histidine,Di,0.364626944065094,16
A0A069S9I0,histidine,Mono,0.3810284584760666,11
A0A069S9I0,histidine,Tri,0.3852462023496628,10
A0A069S9I0,lysine,Di,0.27201589941978455,39
A0A069S9I0,lysine,Mono,0.24924127757549286,50
A0A069S9I0,lysine,Tri,0.26920319348573685,40
A0A069S9I0,methionine,Di,0.19215106219053268,70
A0A069S9I0,methionine,Mono,0.2229803204536438,63
A0A069S9I0,methionine,Tri,0.20811887830495834,67
A0A069S9I0,ornithine,Di,0.26363685727119446,43
A0A069S9I0,ornithine,Mono,0.23789151012897491,57
A0A069S9I0,ornithine,Tri,0.2891526520252228,33
A0A069S9I0,phenylalanine,Di,0.41977155208587646,2
A0A069S9I0,phenylalanine,Mono,0.39208969473838806,8
A0A069S9I0,phenylalanine,Tri,0.37390461564064026,13
A0A069S9I0,proline,Di,0.26074691116809845,45
A0A069S9I0,proline,Mono,0.3801219165325165,12
A0A069S9I0,proline,Tri,0.226895272731781,61
A0A069S9I0,putrescine,Di,0.27942125499248505,37
A0A069S9I0,putrescine,Mono,0.29147765040397644,32
A0A069S9I0,putrescine,Tri,0.22759320586919785,60
A0A069S9I0,serine,Di,0.39847223460674286,6
A0A069S9I0,serine,Mono,0.3665323555469513,15
A0A069S9I0,serine,Tri,0.36189061403274536,19
A0A069S9I0,serotonin,Di,0.3198241889476776,28
A0A069S9I0,serotonin,Mono,0.2821190804243088,35
A0A069S9I0,serotonin,Tri,0.3287922590970993,27
A0A069S9I0,threonine,Di,0.44109728932380676,1
A0A069S9I0,threonine,Mono,0.40800611674785614,5
A0A069S9I0,threonine,Tri,0.36318308115005493,17
A0A069S9I0,tryptamine,Di,0.27901363372802734,38
A0A069S9I0,tryptamine,Mono,0.24075879156589508,55
A0A069S9I0,tryptamine,Tri,0.257601723074913,47
A0A069S9I0,tyramine,Di,0.31179700791835785,31
A0A069S9I0,tyramine,Mono,0.28515852987766266,34
A0A069S9I0,tyramine,Tri,0.2809420973062515,36
A0A078S2R5,"2,3_diaminopropionic acid",Di,0.3733340948820114,15
A0A078S2R5,"2,3_diaminopropionic acid",Mono,0.3350314646959305,23
A0A078S2R5,"2,3_diaminopropionic acid",Tri,0.3399934023618698,22
A0A078S2R5,2_aminophenol,Di,0.3926737606525421,10
A0A078S2R5,2_aminophenol,Mono,0.34348128736019135,20
A0A078S2R5,2_aminophenol,Tri,0.3245556652545929,27
A0A078S2R5,3_methoxytyramine,Di,0.09617077931761742,74
A0A078S2R5,3_methoxytyramine,Mono,0.11280084401369095,72
A0A078S2R5,3_methoxytyramine,Tri,0.06149508059024811,75
A0A078S2R5,alanine,Di,0.2141016274690628,61
A0A078S2R5,alanine,Mono,0.28602201491594315,32
A0A078S2R5,alanine,Tri,0.20172151923179626,66
A0A078S2R5,arginine,Di,0.2213258370757103,56
A0A078S2R5,arginine,Mono,0.26755669713020325,40
A0A078S2R5,arginine,Tri,0.2502102702856064,48
A0A078S2R5,asparagine,Di,0.3410802632570267,21
A0A078S2R5,asparagine,Mono,0.3657863289117813,17
A0A078S2R5,asparagine,Tri,0.3232553154230118,28
A0A078S2R5,cadaverine,Di,0.2606503441929817,43
A0A078S2R5,cadaverine,Mono,0.2763711214065552,34
A0A078S2R5,cadaverine,Tri,0.23633286356925964,53
A0A078S2R5,citrulline,Di,0.3467734605073929,19
A0A078S2R5,citrulline,Mono,0.40475958585739136,8
A0A078S2R5,citrulline,Tri,0.3261053264141083,26
A0A078S2R5,cystine,Di,0.19212846457958221,68
A0A078S2R5,cystine,Mono,0.28838324546813965,31
A0A078S2R5,cystine,Tri,0.20131784677505493,67
A0A078S2R5,dopamine,Di,0.22371436655521393,55
A0A078S2R5,dopamine,Mono,0.24862849712371826,49
A0A078S2R5,dopamine,Tri,0.2034456431865692,65
A0A078S2R5,gaba,Di,0.21994392573833466,57
A0A078S2R5,gaba,Mono,0.267960824072361,39
A0A078S2R5,gaba,Tri,0.21292239427566528,62
A0A078S2R5,glutamine,Di,0.41834887862205505,4
A0A078S2R5,glutamine,Mono,0.38699471950531006,12
A0A078S2R5,glutamine,Tri,0.3348841965198517,24
A0A078S2R5,glyglycine,Di,0.15791572257876396,71
A0A078S2R5,glyglycine,Mono,0.21984446048736572,58
A0A078S2R5,glyglycine,Tri,0.09730535745620728,73
A0A078S2R5,histidine,Di,0.36993131041526794,16
A0A078S2R5,histidine,Mono,0.41449807584285736,6
A0A078S2R5,histidine,Tri,0.3778320848941803,13
A0A078S2R5,lysine,Di,0.265407457947731,41
A0A078S2R5,lysine,Mono,0.2705370783805847,36
A0A078S2R5,lysine,Tri,0.2597087174654007,44
A0A078S2R5,methionine,Di,0.18045908957719803,70
A0A078S2R5,methionine,Mono,0.25056547671556473,47
A0A078S2R5,methionine,Tri,0.1876651644706726,69
A0A078S2R5,ornithine,Di,0.2473641186952591,50
A0A078S2R5,ornithine,Mono,0.25610632449388504,46
A0A078S2R5,ornithine,Tri,0.2740612328052521,35
A0A078S2R5,phenylalanine,Di,0.4262922555208206,2
A0A078S2R5,phenylalanine,Mono,0.42880067229270935,1
A0A078S2R5,phenylalanine,Tri,0.3761053532361984,14
A0A078S2R5,proline,Di,0.23392567783594131,54
A0A078S2R5,proline,Mono,0.3888079673051834,11
A0A078S2R5,proline,Tri,0.20717229694128036,64
A0A078S2R5,putrescine,Di,0.2680326849222183,38
A0A078S2R5,putrescine,Mono,0.31279614567756653,29
A0A078S2R5,putrescine,Tri,0.21513953059911728,59
A0A078S2R5,serine,Di,0.3949720859527588,9
A0A078S2R5,serine,Mono,0.4102552980184555,7
A0A078S2R5,serine,Tri,0.3562847375869751,18
A0A078S2R5,serotonin,Di,0.2823652923107147,33
A0A078S2R5,serotonin,Mono,0.25707730650901794,45
A0A078S2R5,serotonin,Tri,0.2886504679918289,30
A0A078S2R5,threonine,Di,0.41840095818042755,3
A0A078S2R5,threonine,Mono,0.41711707413196564,5
A0A078S2R5,threonine,Tri,0.3346591591835022,25
A0A078S2R5,tryptamine,Di,0.23699847608804703,52
A0A078S2R5,tryptamine,Mono,0.214150570333004,60
A0A078S2R5,tryptamine,Tri,0.21033284068107605,63
A0A078S2R5,tyramine,Di,0.2646959573030472,42
A0A078S2R5,tyramine,Mono,0.26816124469041824,37
A0A078S2R5,tyramine,Tri,0.24067207425832748,51
A0A096B1U0,"2,3_diaminopropionic acid",Di,0.20634837448596954,26
A0A096B1U0,"2,3_diaminopropionic acid",Mono,0.22130289673805237,21
